Digits; Temperature(K); Φ0+ΔΦ; ΔΦ; ΔΦ/(Φ0+ΔΦ)*100% TempConverter(mode=withReferences, A=-707092.6149255642, B=3780.0, C=-0.7, u0=821.5723191985746, ε0=0.78, τa=1.0, dPhi=0.0 Φs=-1.187956209280602e-05 Φa=-5.490972035131795e-06 Φw=-5.490972035131795e-06 Φwcalib=-5.490972035131795e-06 τw=1.0)
428; 273.20; 0.0007135980; -0.0000033506; -0.4695
429; 273.20; 0.0007117849; -0.0000033506; -0.4707
430; 273.20; 0.0007099718; -0.0000033506; -0.4719
431; 273.20; 0.0007081586; -0.0000033506; -0.4731
432; 273.20; 0.0007063455; -0.0000033506; -0.4744
433; 273.20; 0.0007045324; -0.0000033506; -0.4756
434; 273.20; 0.0007027192; -0.0000033506; -0.4768
435; 273.20; 0.0007009061; -0.0000033506; -0.4780
436; 273.20; 0.0006990930; -0.0000033506; -0.4793
437; 273.20; 0.0006972799; -0.0000033506; -0.4805
438; 273.20; 0.0006954667; -0.0000033506; -0.4818
439; 273.20; 0.0006936536; -0.0000033506; -0.4830
